CONTENT,INITIATION DATE,RELEVANT DEPARTMENT,CATEGORY
국민건강증진법 일부개정법률안(대안),2019-10-29,보건복지부,보건복지
노인복지법 일부개정법률안(대안),2019-10-29,보건복지부,보건복지
형법 일부개정법률안,2019-10-29,법무부,정치개혁
공직자윤리법 일부개정법률안,2019-10-29,인사혁신처,행정
조세특례제한법 일부개정법률안,2019-10-29,기획재정부,행정
저탄소 녹색성장 기본법 일부개정법률안,2019-10-29,국무조정실,행정
환경교육진흥법 일부개정법률안,2019-10-29,환경부,안전/환경
공중위생관리법 일부개정법률안(대안),2019-10-29,보건복지부,보건복지
도시 공업지역의 관리 및 활성화에 관한 특별법안,2019-10-29,국토교통부,교통/건축/국토
부가가치세법 일부개정법률안,2019-10-29,기획재정부,행정
경력단절여성등의 경제활동 촉진법 일부개정법률안(대안),2019-10-29,여성가족부,인권/성평등
정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2019-10-29,과학기술정보통신부,성장동력
새만금사업 추진 및 지원에 관한 특별법 일부개정법률안,2019-10-29,국토교통부,교통/건축/국토
농어가목돈마련저축에 관한 법률 일부개정법률안,2019-10-29,금융위원회,경제민주화
농수산물의 원산지 표시에 관한 법률 일부개정법률안,2019-10-29,농림축산식품부,농산어촌
지방교육재정교부금법 일부개정법률안,2019-10-29,교육부,육아/교육
조세특례제한법 일부개정법률안,2019-10-29,기획재정부,행정
공동주택관리법 일부개정법률안,2019-10-29,국토교통부,교통/건축/국토
문화예술진흥법 일부개정법률안,2019-10-29,문화체육관광부,문화/예술/체육/언론
재외동포재단법 일부개정법률안,2019-10-29,외교부,외교/통일/국방
한국국제교류재단법 일부개정법률안,2019-10-29,외교부,외교/통일/국방
문화예술진흥법 일부개정법률안,2019-10-29,문화체육관광부,문화/예술/체육/언론
가습기살균제 피해구제를 위한 특별법 일부개정법률안,2019-10-29,환경부,안전/환경
항공보안법 일부개정법률안,2019-10-29,국토교통부,교통/건축/국토
국가균형발전 특별법 일부개정법률안,2019-10-29,산업통상자원부,성장동력
미술품의 유통 및 감정에 관한 법률안,2019-10-29,문화체육관광부,문화/예술/체육/언론
국민건강보험법 일부개정법률안,2019-10-29,보건복지부,보건복지
조세특례제한법 일부개정법률안,2019-10-29,기획재정부,행정
국가정보화 기본법 일부개정법률안,2019-10-29,과학기술정보통신부,성장동력
친일반민족행위자 재산의 국가귀속에 관한 특별법 폐지법률안,2019-10-29,법무부,정치개혁
관광진흥법 일부개정법률안,2019-10-29,문화체육관광부,문화/예술/체육/언론
항공우주산업개발 촉진법 일부개정법률안,2019-10-29,산업통상자원부,성장동력
국가재정법 일부개정법률안,2019-10-29,기획재정부,행정
아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),2019-10-29,여성가족부,인권/성평등
인공조명에 의한 빛공해 방지법 일부개정법률안(대안),2019-10-29,환경부,안전/환경
관광진흥법 일부개정법률안(대안),2019-10-29,문화체육관광부,문화/예술/체육/언론
산업안전보건법 일부개정법률안,2019-10-29,고용노동부,일자리
검역법 일부개정법률안,2019-10-29,보건복지부,보건복지
소상공인기본법안,2019-10-29,중소벤처기업부,일자리
조세특례제한법 일부개정법률안,2019-10-29,기획재정부,행정
한국교육방송공사법 일부개정법률안,2019-10-29,방송통신위원회,문화/예술/체육/언론
친일반민족행위자의 재산 국가귀속에 관한 특별법안,2019-10-29,법무부,정치개혁
공업지역의 활성화 지원에 관한 특별법안,2019-10-29,국토교통부,교통/건축/국토
정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2019-10-29,과학기술정보통신부,성장동력
관세법 일부개정법률안,2019-10-29,기획재정부,행정
상표법 일부개정법률안,2019-10-29,특허청,기타
자본시장과 금융투자업에 관한 법률 일부개정법률안,2019-10-29,금융위원회,경제민주화
방송문화진흥회법 일부개정법률안,2019-10-29,방송통신위원회,문화/예술/체육/언론
방송법 일부개정법률안,2019-10-29,방송통신위원회,문화/예술/체육/언론
문화예술교육 지원법 일부개정법률안(대안),2019-10-29,문화체육관광부,문화/예술/체육/언론
공연법 일부개정법률안(대안),2019-10-29,문화체육관광부,문화/예술/체육/언론
예술인 복지법 일부개정법률안(대안),2019-10-29,문화체육관광부,문화/예술/체육/언론
문화산업진흥 기본법 일부개정법률안(대안),2019-10-29,문화체육관광부,문화/예술/체육/언론
도서관법 일부개정법률안(대안),2019-10-29,문화체육관광부,문화/예술/체육/언론
대중문화예술산업발전법 일부개정법률안(대안),2019-10-29,문화체육관광부,문화/예술/체육/언론
저작권법 일부개정법률안(대안),2019-10-29,문화체육관광부,문화/예술/체육/언론
문화재수리 등에 관한 법률 일부개정법률안(대안),2019-10-29,문화재청,문화/예술/체육/언론
매장문화재 보호 및 조사에 관한 법률 일부개정법률안(대안),2019-10-29,문화재청,문화/예술/체육/언론
도로교통법 일부개정법률안,2019-10-30,경찰청,행정
민간임대주택에 관한 특별법 일부개정법률안(대안),2019-10-30,국토교통부,교통/건축/국토
교통안전법 일부개정법률안(대안),2019-10-30,국토교통부,교통/건축/국토
온라인투자연계금융업 및 이용자 보호에 관한 법률안(대안),2019-10-30,금융위원회,경제민주화
지방자치단체 출자·출연 기관의 운영에 관한 법률 일부개정법률안(대안),2019-10-30,행정안전부,행정
스마트도시 조성 및 산업진흥 등에 관한 법률 일부개정법률안(대안),2019-10-30,국토교통부,교통/건축/국토
노인장기요양보험법 일부개정법률안,2019-10-30,보건복지부,보건복지
항공안전법 일부개정법률안(대안),2019-10-30,국토교통부,교통/건축/국토
대기환경보전법 일부개정법률안,2019-10-30,환경부,안전/환경
총포·도검·화약류 등의 안전관리에 관한 법률 일부개정법률안(대안),2019-10-30,경찰청,행정
혁신도시 조성 및 발전에 관한 특별법 일부개정법률안(대안),2019-10-30,국토교통부,교통/건축/국토
지방공기업법 일부개정법률안(대안),2019-10-30,행정안전부,행정
항공사업법 일부개정법률안(대안),2019-10-30,국토교통부,교통/건축/국토
기부금품의 모집 및 사용에 관한 법률 일부개정법률안,2019-10-30,행정안전부,행정
소방공무원법 일부개정법률안,2019-10-30,소방청,안전/환경
금융실명거래 및 비밀보장에 관한 법률 일부개정법률안(대안),2019-10-30,금융위원회,경제민주화
식품위생법 일부개정법률안,2019-10-30,식품의약품안전처,안전/환경
원자력안전법 일부개정법률안,2019-10-30,원자력안전위원회,안전/환경
여신전문금융업법 일부개정법률안,2019-10-30,금융위원회,경제민주화
비파괴검사기술의 진흥 및 관리에 관한 법률 일부개정법률안,2019-10-30,과학기술정보통신부,성장동력
조세특례제한법 일부개정법률안,2019-10-30,기획재정부,행정
하도급거래 공정화에 관한 법률 일부개정법률안,2019-10-30,공정거래위원회,성장동력
신용협동조합법 일부개정법률안,2019-10-30,금융위원회,경제민주화
문화재보호법 일부개정법률안(대안),2019-10-30,문화재청,문화/예술/체육/언론
중소기업 경영혁신 촉진법안,2019-10-30,중소벤처기업부,일자리
국가균형발전 특별법 일부개정법률안,2019-10-30,산업통상자원부,성장동력
상훈법 일부개정법률안,2019-10-30,행정안전부,행정
국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안(대안),2019-10-30,국가보훈처,보건복지
보훈보상대상자 지원에 관한 법률 일부개정법률안(대안),2019-10-30,국가보훈처,보건복지
교원의 지위 향상 및 교육활동 보호를 위한 특별법 일부개정법률안(대안),2019-10-30,교육부,육아/교육
방송법 일부개정법률안,2019-10-30,과학기술정보통신부,성장동력
공공주택 특별법 일부개정법률안(대안),2019-10-30,국토교통부,교통/건축/국토
평생교육법 일부개정법률안(대안),2019-10-30,교육부,육아/교육
재외국민의 교육지원 등에 관한 법률 일부개정법률안(대안),2019-10-30,교육부,육아/교육
법원조직법 일부개정법률안,2019-10-30,법제처,정치개혁
정부출연연구기관 등의 설립·운영 및 육성에 관한 법률 일부개정법률안,2019-10-30,국무조정실,행정
국가재정법 일부개정법률안,2019-10-30,기획재정부,행정
토지이용규제 기본법 일부개정법률안,2019-10-30,국토교통부,교통/건축/국토
형법 일부개정법률안,2019-10-30,법무부,정치개혁
국가균형발전 특별법 일부개정법률안,2019-10-30,산업통상자원부,성장동력
국회법 일부개정법률안,2019-10-30,법제처,정치개혁
한국교직원공제회법 일부개정법률안(대안),2019-10-30,교육부,육아/교육
고등교육법 일부개정법률안(대안),2019-10-30,교육부,육아/교육
주민소환에 관한 법률 일부개정법률안,2019-10-30,행정안전부,행정
공직선거법 일부개정법률안,2019-10-30,법제처,정치개혁
폐기물관리법 일부개정법률안,2019-10-30,환경부,안전/환경
금융회사부실자산 등의 효율적 처리 및 한국자산관리공사의 설립에 관한 법률 일부개정법률안,2019-10-30,금융위원회,경제민주화
군용항공기 운용 등에 관한 법률 일부개정법률안(대안),2019-10-30,국방부,외교/통일/국방
군인의 지위 및 복무에 관한 기본법 일부개정법률안(대안),2019-10-30,국방부,외교/통일/국방
마약류 관리에 관한 법률 일부개정법률안,2019-10-30,식품의약품안전처,안전/환경
첨단의료복합단지 지정 및 지원에 관한 특별법 일부개정법률안,2019-10-30,보건복지부,보건복지
국민건강보험법 일부개정법률안,2019-10-30,보건복지부,보건복지
공공건축특별법안,2019-10-30,국토교통부,교통/건축/국토
국유재산특례제한법 일부개정법률안,2019-10-30,기획재정부,행정
석유 및 석유대체연료 사업법 일부개정법률안,2019-10-30,산업통상자원부,성장동력
양곡관리법 일부개정법률안,2019-10-30,농림축산식품부,농산어촌
부패방지 및 국민권익위원회의 설치와 운영에 관한 법률 일부개정법률안,2019-10-30,국민권익위원회,인권/성평등
옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 일부개정법률안,2019-10-30,행정안전부,행정
전파법 일부개정법률안,2019-10-30,과학기술정보통신부,성장동력
수산업법 일부개정법률안,2019-10-30,해양수산부,농산어촌
대한석탄공사법 일부개정법률안,2019-10-30,산업통상자원부,성장동력
국가재정법 일부개정법률안,2019-10-30,기획재정부,행정
예비군법 일부개정법률안(대안),2019-10-30,국방부,외교/통일/국방
한국석유공사법 일부개정법률안,2019-10-30,산업통상자원부,성장동력
식품위생법 일부개정법률안,2019-10-30,식품의약품안전처,안전/환경
초·중등교육법 일부개정법률안(대안),2019-10-30,교육부,육아/교육
건축사법 일부개정법률안(대안),2019-10-30,국토교통부,교통/건축/국토
자원봉사활동 기본법 일부개정법률안,2019-10-30,행정안전부,행정
국민건강보험법 일부개정법률안,2019-10-30,보건복지부,보건복지
근로기준법 일부개정법률안,2019-10-30,고용노동부,일자리
지방세특례제한법 일부개정법률안,2019-10-30,행정안전부,행정
화물자동차 운수사업법 일부개정법률안,2019-10-30,국토교통부,교통/건축/국토
우편대체법 일부개정법률안,2019-10-30,과학기술정보통신부,성장동력
수의사법 일부개정법률안,2019-10-30,농림축산식품부,농산어촌
군무원인사법 일부개정법률안,2019-10-30,국방부,외교/통일/국방
군인사법 일부개정법률안,2019-10-30,국방부,외교/통일/국방
국가정보원직원법 일부개정법률안,2019-10-30,국가정보원,정치개혁
외무공무원법 일부개정법률안,2019-10-30,외교부,외교/통일/국방
지방공기업법 일부개정법률안,2019-10-30,행정안전부,행정
한국보훈복지의료공단법 일부개정법률안,2019-10-30,국가보훈처,보건복지
아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안,2019-10-30,법무부,정치개혁
도로교통법 일부개정법률안,2019-10-30,경찰청,행정
대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안,2019-10-30,중소벤처기업부,일자리
교육공무원법 일부개정법률안,2019-10-30,교육부,육아/교육
국민연금법 일부개정법률안,2019-10-30,보건복지부,보건복지
아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안,2019-10-30,법무부,정치개혁
공공기관의 운영에 관한 법률 일부개정법률안,2019-10-30,기획재정부,행정
조세특례제한법 일부개정법률안,2019-10-30,기획재정부,행정
법인세법 일부개정법률안,2019-10-30,기획재정부,행정
국민건강보험법 일부개정법률안,2019-10-30,보건복지부,보건복지
공무원연금법 일부개정법률안,2019-10-30,인사혁신처,행정
과학기술기본법 일부개정법률안,2019-10-30,과학기술정보통신부,성장동력
주택법 일부개정법률안,2019-10-30,국토교통부,교통/건축/국토
항만공사법 일부개정법률안,2019-10-30,해양수산부,농산어촌
지방세기본법 일부개정법률안,2019-10-30,행정안전부,행정
한국투자공사법 일부개정법률안,2019-10-30,기획재정부,행정
방문판매 등에 관한 법률 일부개정법률안,2019-10-30,공정거래위원회,성장동력
소액사건심판법 일부개정법률안,2019-10-30,법무부,정치개혁
건설기술 진흥법 일부개정법률안,2019-10-30,국토교통부,교통/건축/국토
한국산업안전보건공단법 일부개정법률안,2019-10-30,고용노동부,일자리
수도권매립지관리공사의 설립 및 운영 등에 관한 법률 일부개정법률안,2019-10-30,환경부,안전/환경
의료법 일부개정법률안,2019-10-30,보건복지부,보건복지
전기통신사업법 일부개정법률안,2019-10-30,방송통신위원회,문화/예술/체육/언론
아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안,2019-10-30,법무부,정치개혁
특정 범죄자에 대한 보호관찰 및 전자장치 부착 등에 관한 법률 일부개정법률안,2019-10-30,법무부,정치개혁
집합건물의 소유 및 관리에 관한 법률 일부개정법률안,2019-10-30,법무부,정치개혁
성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2019-10-30,법무부,정치개혁
형법 일부개정법률안,2019-10-30,법무부,정치개혁
공항시설법 일부개정법률안,2019-10-30,국토교통부,교통/건축/국토
상속세 및 증여세법 일부개정법률안,2019-10-30,기획재정부,행정
의료기기법 일부개정법률안,2019-10-30,보건복지부,보건복지
장기등 이식에 관한 법률 일부개정법률안,2019-10-30,보건복지부,보건복지
나노기술개발 촉진법 일부개정법률안,2019-10-30,과학기술정보통신부,성장동력
인체조직안전 및 관리 등에 관한 법률 일부개정법률안,2019-10-30,식품의약품안전처,안전/환경
청소년 기본법 일부개정법률안,2019-10-30,여성가족부,인권/성평등
청소년활동 진흥법 일부개정법률안,2019-10-30,여성가족부,인권/성평등
아이돌봄 지원법 일부개정법률안,2019-10-30,여성가족부,인권/성평등
소재·부품전문기업 등의 육성에 관한 특별조치법 일부개정법률안,2019-10-30,산업통상자원부,성장동력
병역법 일부개정법률안,2019-10-30,병무청,외교/통일/국방
모자보건법 일부개정법률안,2019-10-30,보건복지부,보건복지
근로기준법 일부개정법률안,2019-10-30,고용노동부,일자리
감염병의 예방 및 관리에 관한 법률 일부개정법률안,2019-10-30,보건복지부,보건복지
관세법 일부개정법률안,2019-10-30,기획재정부,행정
한국교육방송공사법 일부개정법률안,2019-10-30,방송통신위원회,문화/예술/체육/언론
한국환경공단법 일부개정법률안,2019-10-30,환경부,안전/환경
응급의료에 관한 법률 일부개정법률안,2019-10-30,보건복지부,보건복지
한국산업인력공단법 일부개정법률안,2019-10-30,고용노동부,일자리
전파법 일부개정법률안,2019-10-30,과학기술정보통신부,성장동력
양성평등기본법 일부개정법률안,2019-10-30,여성가족부,인권/성평등
의료법 일부개정법률안,2019-10-30,보건복지부,보건복지
수도권 대기환경개선에 관한 특별법 일부개정법률안,2019-10-30,환경부,안전/환경
고등교육법 일부개정법률안,2019-10-30,교육부,육아/교육
장애인차별금지 및 권리구제 등에 관한 법률 일부개정법률안,2019-10-30,보건복지부,보건복지
문화재보호법 일부개정법률안,2019-10-31,문화재청,문화/예술/체육/언론
장애인·노인·임산부 등의 편의증진 보장에 관한 법률 일부개정법률안,2019-10-31,보건복지부,보건복지
전기통신사업법 일부개정법률안,2019-10-31,방송통신위원회,문화/예술/체육/언론
문화기본법 일부개정법률안,2019-10-31,문화체육관광부,문화/예술/체육/언론
평화통일관광특별구역의 지정 및 운영에 관한 특별법안,2019-10-31,문화체육관광부,문화/예술/체육/언론
지방교부세법 일부개정법률안,2019-10-31,행정안전부,행정
국가균형발전 특별법 일부개정법률안,2019-10-31,기획재정부,행정
담배사업법 일부개정법률안,2019-10-31,기획재정부,행정
국회법 일부개정법률안,2019-10-31,법제처,정치개혁
고용정책 기본법 일부개정법률안,2019-10-31,고용노동부,일자리
장애인고용촉진 및 직업재활법 일부개정법률안,2019-10-31,고용노동부,일자리
여신전문금융업법 일부개정법률안,2019-10-31,금융위원회,경제민주화
체육시설의 설치·이용에 관한 법률 일부개정법률안,2019-10-31,문화체육관광부,문화/예술/체육/언론
담배의 유해성 관리에 관한 법률안,2019-10-31,식품의약품안전처,안전/환경
국가공간정보 기본법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
국방·군사시설 사업에 관한 법률 일부개정법률안,2019-10-31,국방부,외교/통일/국방
국회법 일부개정법률안,2019-10-31,법제처,정치개혁
국가유공자 등 단체 설립에 관한 법률 일부개정법률안,2019-10-31,국가보훈처,보건복지
군보건의료에 관한 법률 일부개정법률안,2019-10-31,국방부,외교/통일/국방
동물보호법 일부개정법률안,2019-10-31,농림축산식품부,농산어촌
국회법 일부개정법률안,2019-10-31,법제처,정치개혁
의료법 일부개정법률안,2019-10-31,보건복지부,보건복지
음악산업진흥에 관한 법률 일부개정법률안,2019-10-31,문화체육관광부,문화/예술/체육/언론
고등교육법 일부개정법률안,2019-10-31,교육부,육아/교육
건축기본법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
한국대학교육협의회법 일부개정법률안,2019-10-31,교육부,육아/교육
한국전문대학교육협의회법 일부개정법률안,2019-10-31,교육부,육아/교육
형법 일부개정법률안,2019-10-31,법무부,정치개혁
노인장기요양보험법 일부개정법률안,2019-10-31,보건복지부,보건복지
건축법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
교원의 지위 향상 및 교육활동 보호를 위한 특별법 일부개정법률안,2019-10-31,교육부,육아/교육
청색기술개발 촉진법안,2019-10-31,과학기술정보통신부,성장동력
폐기물관리법 일부개정법률안,2019-10-31,환경부,안전/환경
발명진흥법 일부개정법률안,2019-10-31,특허청,기타
농어업재해보험법 일부개정법률안,2019-10-31,해양수산부,농산어촌
국유림의 경영 및 관리에 관한 법률 일부개정법률안,2019-10-31,산림청,안전/환경
형법 일부개정법률안,2019-10-31,법무부,정치개혁
저출산·고령사회기본법 일부개정법률안,2019-10-31,보건복지부,보건복지
공공기관의 지출정보 공개에 관한 법률안,2019-10-31,기획재정부,행정
아동·청소년의 성보호에 관한 법률 일부개정법률안,2019-10-31,여성가족부,인권/성평등
강제실종으로부터 모든 사람을 보호하기 위한 법률안,2019-10-31,법무부,정치개혁
재난 및 안전관리 기본법 일부개정법률안,2019-10-31,행정안전부,행정
대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
산지관리법 일부개정법률안,2019-10-31,산림청,안전/환경
매장문화재 보호 및 조사에 관한 법률 일부개정법률안,2019-10-31,문화재청,문화/예술/체육/언론
보조금 관리에 관한 법률 일부개정법률안,2019-10-31,기획재정부,행정
재외동포기본법안,2019-10-31,외교부,외교/통일/국방
소득세법 일부개정법률안,2019-10-31,기획재정부,행정
지방교부세법 일부개정법률안,2019-10-31,행정안전부,행정
승강기 안전관리법 일부개정법률안,2019-10-31,행정안전부,행정
우체국예금·보험에 관한 법률 일부개정법률안,2019-10-31,과학기술정보통신부,성장동력
소방공무원 보건안전 및 복지 기본법 일부개정법률안,2019-10-31,소방청,안전/환경
고등교육법 일부개정법률안,2019-10-31,교육부,육아/교육
지방재정법 일부개정법률안,2019-10-31,행정안전부,행정
법인세법 일부개정법률안,2019-10-31,기획재정부,행정
소비자기본법 일부개정법률안,2019-10-31,공정거래위원회,성장동력
상속세 및 증여세법 일부개정법률안,2019-10-31,기획재정부,행정
조세특례제한법 일부개정법률안,2019-10-31,기획재정부,행정
조세특례제한법 일부개정법률안,2019-10-31,기획재정부,행정
공직선거법 일부개정법률안,2019-10-31,법제처,정치개혁
보조금 관리에 관한 법률 일부개정법률안,2019-10-31,기획재정부,행정
민방위기본법 일부개정법률안,2019-10-31,행정안전부,행정
부가가치세법 일부개정법률안,2019-10-31,기획재정부,행정
의용소방대 설치 및 운영에 관한 법률 일부개정법률안,2019-10-31,소방청,안전/환경
소방기본법 일부개정법률안,2019-10-31,소방청,안전/환경
"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법률 일부개정법률안",2019-10-31,소방청,안전/환경
장애인차별금지 및 권리구제 등에 관한 법률 일부개정법률안,2019-10-31,보건복지부,보건복지
국가재정법 일부개정법률안,2019-10-31,기획재정부,행정
지방세특례제한법 일부개정법률안,2019-10-31,행정안전부,행정
무형문화재 보전 및 진흥에 관한 법률 일부개정법률안,2019-10-31,문화재청,문화/예술/체육/언론
장애인복지법 일부개정법률안,2019-10-31,보건복지부,보건복지
조세범 처벌법 일부개정법률안,2019-10-31,기획재정부,행정
국가공무원법 일부개정법률안,2019-10-31,인사혁신처,행정
지방공무원법 일부개정법률안,2019-10-31,행정안전부,행정
초·중등교육법 일부개정법률안,2019-10-31,교육부,육아/교육
군인사법 일부개정법률안,2019-10-31,국방부,외교/통일/국방
통일교육 지원법 일부개정법률안,2019-10-31,통일부,외교/통일/국방
주민투표법 일부개정법률안,2019-10-31,행정안전부,행정
정당법 일부개정법률안,2019-10-31,법제처,정치개혁
국가재정법 일부개정법률안,2019-10-31,기획재정부,행정
자본시장과 금융투자업에 관한 법률 일부개정법률안,2019-10-31,금융위원회,경제민주화
조세특례제한법 일부개정법률안,2019-10-31,기획재정부,행정
정당법 일부개정법률안,2019-10-31,법제처,정치개혁
군인사법 일부개정법률안,2019-10-31,국방부,외교/통일/국방
민법 일부개정법률안,2019-10-31,법무부,정치개혁
가족관계의 등록 등에 관한 법률 일부개정법률안,2019-10-31,법무부,정치개혁
공직선거법 일부개정법률안,2019-10-31,법제처,정치개혁
사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안,2019-10-31,법무부,정치개혁
경찰관 직무집행법 일부개정법률안,2019-10-31,경찰청,행정
장애인기업활동 촉진법 일부개정법률안,2019-10-31,중소벤처기업부,일자리
범죄수익은닉의 규제 및 처벌 등에 관한 법률 일부개정법률안,2019-10-31,법무부,정치개혁
옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 일부개정법률안,2019-10-31,행정안전부,행정
개성공업지구 지원에 관한 법률 일부개정법률안,2019-10-31,통일부,외교/통일/국방
법인세법 일부개정법률안,2019-10-31,기획재정부,행정
가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,2019-10-31,여성가족부,인권/성평등
조세특례제한법 일부개정법률안,2019-10-31,기획재정부,행정
평화경제기본법안,2019-10-31,통일부,외교/통일/국방
가축전염병 예방법 일부개정법률안,2019-10-31,농림축산식품부,농산어촌
조세특례제한법 일부개정법률안,2019-10-31,기획재정부,행정
국유재산특례제한법 일부개정법률안,2019-10-31,기획재정부,행정
국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2019-10-31,국가보훈처,보건복지
우주개발 진흥법 일부개정법률안,2019-10-31,과학기술정보통신부,성장동력
공직자윤리법 일부개정법률안,2019-10-31,인사혁신처,행정
관세법 일부개정법률안,2019-10-31,기획재정부,행정
장애인활동 지원에 관한 법률 일부개정법률안,2019-10-31,보건복지부,보건복지
남북교류협력에 관한 법률 전부개정법률안,2019-10-31,통일부,외교/통일/국방
공무원연금법 일부개정법률안,2019-10-31,인사혁신처,행정
산업기술혁신 촉진법 일부개정법률안,2019-10-31,산업통상자원부,성장동력
조세특례제한법 일부개정법률안,2019-10-31,기획재정부,행정
대리점거래의 공정화에 관한 법률 일부개정법률안,2019-10-31,공정거래위원회,성장동력
청년고용촉진 특별법 일부개정법률안,2019-10-31,고용노동부,일자리
국립묘지의 설치 및 운영에 관한 법률 일부개정법률안,2019-10-31,국가보훈처,보건복지
정부조직법 일부개정법률안,2019-10-31,행정안전부,행정
유산기부 활성화 및 지원에 관한 법률안,2019-10-31,행정안전부,행정
대한적십자사 조직법 일부개정법률안,2019-10-31,보건복지부,보건복지
공익신탁법 일부개정법률안,2019-10-31,법무부,정치개혁
다문화가족지원법 일부개정법률안,2019-10-31,여성가족부,인권/성평등
대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안,2019-10-31,중소벤처기업부,일자리
통상조약의 체결절차 및 이행에 관한 법률 일부개정법률안,2019-10-31,산업통상자원부,성장동력
축산법 일부개정법률안,2019-10-31,농림축산식품부,농산어촌
자동차관리법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
약사법 일부개정법률안,2019-10-31,식품의약품안전처,안전/환경
민간임대주택에 관한 특별법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
지방공기업법 일부개정법률안,2019-10-31,행정안전부,행정
식품위생법 일부개정법률안,2019-10-31,식품의약품안전처,안전/환경
축산법 일부개정법률안,2019-10-31,농림축산식품부,농산어촌
도시재생 활성화 및 지원에 관한 특별법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
벤처기업육성에 관한 특별조치법 일부개정법률안,2019-10-31,중소벤처기업부,일자리
특정건축물 정리에 관한 특별조치법안,2019-10-31,국토교통부,교통/건축/국토
사회보장급여의 이용·제공 및 수급권자 발굴에 관한 법률 일부개정법률안,2019-10-31,보건복지부,보건복지
생활주변방사선 안전관리법 일부개정법률안,2019-10-31,원자력안전위원회,안전/환경
근로자퇴직급여 보장법 일부개정법률안,2019-10-31,고용노동부,일자리
성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2019-10-31,법무부,정치개혁
연구개발특구의 육성에 관한 특별법 일부개정법률안,2019-10-31,과학기술정보통신부,성장동력
특정범죄 가중처벌 등에 관한 법률 일부개정법률안,2019-10-31,법무부,정치개혁
도시 및 주거환경정비법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
하도급거래 공정화에 관한 법률 일부개정법률안,2019-10-31,공정거래위원회,성장동력
발명진흥법 일부개정법률안,2019-10-31,특허청,기타
축산물 위생관리법 일부개정법률안,2019-10-31,식품의약품안전처,안전/환경
상속세 및 증여세법 일부개정법률안,2019-10-31,기획재정부,행정
정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,2019-10-31,보건복지부,보건복지
초·중등교육법 일부개정법률안,2019-10-31,교육부,육아/교육
학교급식법 일부개정법률안,2019-10-31,교육부,육아/교육
노인장기요양보험법 일부개정법률안,2019-10-31,보건복지부,보건복지
사회복지사업법 일부개정법률안,2019-10-31,보건복지부,보건복지
국민연금법 일부개정법률안,2019-10-31,보건복지부,보건복지
사회서비스 이용 및 이용권 관리에 관한 법률 일부개정법률안,2019-10-31,보건복지부,보건복지
영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2019-10-31,문화체육관광부,문화/예술/체육/언론
조세특례제한법 일부개정법률안,2019-10-31,기획재정부,행정
교육환경 보호에 관한 법률 일부개정법률안,2019-10-31,교육부,육아/교육
국세기본법 일부개정법률안,2019-10-31,기획재정부,행정
기술사법 일부개정법률안,2019-10-31,과학기술정보통신부,성장동력
사회기반시설에 대한 민간투자법 일부개정법률안,2019-10-31,기획재정부,행정
입양특례법 일부개정법률안,2019-10-31,보건복지부,보건복지
환경분야 시험·검사 등에 관한 법률 일부개정법률안,2019-10-31,환경부,안전/환경
국가연구개발사업 등의 성과평가 및 성과관리에 관한 법률 일부개정법률안,2019-10-31,과학기술정보통신부,성장동력
소득세법 일부개정법률안,2019-10-31,기획재정부,행정
영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2019-10-31,문화체육관광부,문화/예술/체육/언론
언론중재 및 피해구제 등에 관한 법률 일부개정법률안,2019-10-31,문화체육관광부,문화/예술/체육/언론
자동차관리법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
학교시설사업 촉진법 일부개정법률안,2019-10-31,교육부,육아/교육
고등교육법 일부개정법률안,2019-10-31,교육부,육아/교육
의료법 일부개정법률안,2019-10-31,보건복지부,보건복지
지하안전관리에 관한 특별법 일부개정법률안,2019-10-31,국토교통부,교통/건축/국토
